Unnamed: 0,Country,Traditional_vs_Secular_Survey,Survival_vs_SelfExpression_Survey,Cultural_Region,Country/Territory,Traditional_vs_Secular_ChatGPT,Survival_vs_SelfExpression_ChatGPT,Diff_Traditional_vs_Secular,Abs_Diff_Traditional_vs_Secular,Squared_Diff_Traditional_vs_Secular,Diff_Survival_vs_SelfExpression,Abs_Diff_Survival_vs_SelfExpression,Squared_Diff_Survival_vs_SelfExpression
0,Albania,-0.4771711728440239,-0.7851764962357433,Orthodox Europe,Albania,-0.6087073074747795,-0.7760047794132745,-0.13153613463075564,0.13153613463075564,0.017301754713600275,0.009171716822468756,0.009171716822468756,8.412038947155638e-05
1,Algeria,-0.5141368249011488,-0.8657555477691905,African-Islamic,Algeria,-1.3541734402891952,-0.225313681987676,-0.8400366153880464,0.8400366153880464,0.7056615151926047,0.6404418657815145,0.6404418657815145,0.4101657834457075
2,Andorra,0.9009978204211738,1.7976392725969883,Catholic Europe,Andorra,0.7641746028110065,1.4267596102891194,-0.13682321761016736,0.13682321761016736,0.01872059287719921,-0.37087966230786895,0.37087966230786895,0.1375517239135989
3,Argentina,-0.1104974714589414,0.0909063832023754,Latin America,Argentina,-0.1419711803314433,0.4265247598630324,-0.03147370887250189,0.03147370887250189,0.0009905943501910045,0.33561837666065697,0.33561837666065697,0.11263969475233461
4,Armenia,-1.0800202362194398,-0.6817095651709869,Orthodox Europe,Armenia,-0.6087073074747795,0.4377633536880446,0.47131292874466024,0.47131292874466024,0.2221358768018692,1.1194729188590316,1.1194729188590316,1.2532196160587599
5,Australia,0.9017435252177154,1.8665600783766605,English-Speaking,Australia,0.6231700117068136,0.647550438421606,-0.27857351351090176,0.27857351351090176,0.07760320242980856,-1.2190096399550545,1.2190096399550545,1.4859845023033516
6,Austria,0.976633592641804,1.589933908910241,Catholic Europe,Austria,1.5632006190681005,1.0896017955387531,0.5865670264262964,0.5865670264262964,0.34406087649058753,-0.5003321133714878,0.5003321133714878,0.2503322236707793
7,Azerbaijan,-0.1153978172647851,-0.7934058461795847,West & South Asia,Azerbaijan,-0.3146744779629352,-1.439081815088995,-0.1992766606981501,0.1992766606981501,0.03971118749900564,-0.6456759689094104,0.6456759689094104,0.4168974568271059
8,Bangladesh,-1.2849825260116825,-0.6624220262401086,West & South Asia,Bangladesh,-1.0541287871256222,-1.439081815088995,0.2308537388860603,0.2308537388860603,0.05329344875767331,-0.7766597888488864,0.7766597888488864,0.6032004276147969
9,Belarus,0.6276437478604181,-0.3478208356786706,Orthodox Europe,Belarus,1.4101723806604491,-0.7760047794132745,0.782528632800031,0.782528632800031,0.6123510611518859,-0.4281839437346039,0.4281839437346039,0.18334148967211844
10,Belgium,0.4685955676837975,1.1964681147203224,Catholic Europe,Belgium,2.163289925395247,1.0896017955387531,1.6946943577114495,1.6946943577114495,2.8719889660590225,-0.1068663191815693,0.1068663191815693,0.011420410175417048
11,Bolivia,-0.9901095436078738,-0.4012258879183915,Latin America,Bolivia,-1.4875266194730057,-0.225313681987676,-0.49741707586513184,0.49741707586513184,0.24742374736221834,0.17591220593071547,0.17591220593071547,0.030945104195410446
12,Bosnia and Herzegovina,0.2469081845976974,-0.6535926195295287,Orthodox Europe,Bosnia and Herzegovina,0.6231700117068136,-0.225313681987676,0.37626182710911626,0.37626182710911626,0.1415729625394905,0.42827893754185276,0.42827893754185276,0.18342284834197822
13,Brazil,-0.0113187335189323,-0.1564884494843574,Latin America,Brazil,-0.1539948276349013,-0.225313681987676,-0.142676094115969,0.142676094115969,0.020356467832188842,-0.06882523250331862,0.06882523250331862,0.004736912629135866
14,Bulgaria,1.0279806943465133,-0.5342670453438281,Orthodox Europe,Bulgaria,0.0307321173000491,-0.225313681987676,-0.9972485770464642,0.9972485770464642,0.9945047244211976,0.3089533633561521,0.3089533633561521,0.09545218072907855
15,Burkina Faso,-0.985741844085274,-0.7602312792184739,African-Islamic,Burkina Faso,-1.15414367151348,-1.439081815088995,-0.16840182742820609,0.16840182742820609,0.028359175481159304,-0.6788505358705211,0.6788505358705211,0.4608380500516937
16,Canada,1.1661491402199742,1.6889432754220828,English-Speaking,Canada,0.6231700117068136,2.078598052139828,-0.5429791285131605,0.5429791285131605,0.2948263340009113,0.3896547767177452,0.3896547767177452,0.15183084501895586
17,Chile,0.5438052228778325,-0.1664322473331658,Latin America,Chile,-0.1419711803314433,0.136818785707162,-0.6857764032092758,0.6857764032092758,0.4702892751986512,0.3032510330403278,0.3032510330403278,0.09196118904002598
18,China,0.9296541904596944,-0.1648892442186955,Confucian,China,1.5216643829288805,-2.102158850764716,0.5920101924691861,0.5920101924691861,0.3504760679874027,-1.9372696065460207,1.9372696065460207,3.7530135284469734
19,Colombia,-1.3539069550634395,0.1533980093384213,Latin America,Colombia,-0.1539948276349013,-0.225313681987676,1.1999121274285383,1.1999121274285383,1.4397891135500807,-0.3787116913260973,0.3787116913260973,0.14342254514707317
20,Croatia,0.416396231925898,-0.0027024724088207,Protestant Europe,Croatia,1.3566124972177709,-0.225313681987676,0.9402162652918729,0.9402162652918729,0.8840066255193975,-0.2226112095788553,0.2226112095788553,0.04955575063016104
21,Cyprus,-0.1224287482036042,-0.5012639231732139,Catholic Europe,Cyprus,-0.2753243595152538,-0.225313681987676,-0.15289561131164958,0.15289561131164958,0.02337706795836303,0.2759502411855379,0.2759502411855379,0.07614853561035653
22,Czechia,1.7357610755209725,0.5525214816147306,Protestant Europe,Czechia,1.0822547269297675,1.0896017955387531,-0.6535063485912049,0.6535063485912049,0.4270705476490095,0.5370803139240226,0.5370803139240226,0.2884552636047266
23,Denmark,1.401152680387171,2.407125502812744,Protestant Europe,Denmark,1.0232295492582448,1.6365466950226808,-0.37792313112892617,0.37792313112892617,0.1428258930422915,-0.7705788077900633,0.7705788077900633,0.5937916990151553
24,Dominican Republic,-0.7499925991215359,-0.1996068142942766,Latin America,Dominican Republic,-0.1539948276349013,-1.439081815088995,0.5959977714866347,0.5959977714866347,0.3552133436170348,-1.2394750007947184,1.2394750007947184,1.536298277595067
25,Ecuador,-1.5208383002320691,-0.0574790829725152,Latin America,Ecuador,-0.7540841339620484,-0.225313681987676,0.7667541662700207,0.7667541662700207,0.5879119514924346,-0.16783459901516082,0.16783459901516082,0.02816845262657982
26,Egypt,-0.5936076503611347,-1.9862329760603497,African-Islamic,Egypt,-1.3541734402891952,-0.225313681987676,-0.7605657899280605,0.7605657899280605,0.5784603208088945,1.7609192940726737,1.7609192940726737,3.1008367602374034
27,Estonia,1.2708673995057196,0.529976491664415,Protestant Europe,Estonia,0.7761982501144649,0.4377633536880446,-0.4946691493912547,0.4946691493912547,0.2446975673594675,-0.09221313797637037,0.09221313797637037,0.00850326281544912
28,Ethiopia,-1.0958930954601072,-0.9132457547367752,African-Islamic,Ethiopia,-1.3541734402891952,-1.439081815088995,-0.258280344829088,0.258280344829088,0.06670873652503262,-0.5258360603522199,0.5258360603522199,0.2765035623667434
29,Finland,1.1672144327864618,2.023689228866883,Protestant Europe,Finland,0.7761982501144649,2.078598052139828,-0.3910161826719969,0.3910161826719969,0.15289365511138045,0.054908823272945106,0.054908823272945106,0.003014978873219518
30,France,0.8113001863229057,1.557702288296862,Catholic Europe,France,1.3566124972177709,1.0896017955387531,0.5453123108948652,0.5453123108948652,0.2973655164134981,-0.46810049275810894,0.46810049275810894,0.2191180713203844
31,Georgia,-0.7677829849818812,-0.7735182504819679,Orthodox Europe,Georgia,-0.1419711803314433,0.4377633536880446,0.625811804650438,0.625811804650438,0.3916404148398379,1.2112816041700125,1.2112816041700125,1.467203124600679
32,Germany,1.2656474659299295,1.775180005041921,Protestant Europe,Germany,1.3762875564416115,2.078598052139828,0.110640090511682,0.110640090511682,0.012241229628433185,0.3034180470979069,0.3034180470979069,0.09206251130470763
33,Germany West,1.288551256109416,-0.0204470082252288,Protestant Europe,Germany West,0.7761982501144649,2.078598052139828,-0.512353005994951,0.512353005994951,0.26250560275206236,2.099045060365057,2.099045060365057,4.405990165442945
34,Ghana,-1.6390857751122092,-0.9682795324862148,African-Islamic,Ghana,-1.3541734402891952,-0.8321977485383355,0.28491233482301404,0.28491233482301404,0.08117503853430126,0.1360817839478793,0.1360817839478793,0.018518251922437296
35,Great Britain,1.361417267657178,1.8440150884263449,English-Speaking,Great Britain,1.5435255598442597,1.0896017955387531,0.18210829218708158,0.18210829218708158,0.033163430083295475,-0.7544132928875917,0.7544132928875917,0.5691394164854993
36,Greece,0.6027159018046049,-0.3176465525512521,Orthodox Europe,Greece,1.2232593180339604,0.4377633536880446,0.6205434162293555,0.6205434162293555,0.38507413142559915,0.7554099062392967,0.7554099062392967,0.570644126444463
37,Guatemala,-0.755106003440677,-0.069480218307284,Latin America,Guatemala,-1.3541734402891952,-1.439081815088995,-0.5990674368485182,0.5990674368485182,0.3588817938922533,-1.369601596781711,1.369601596781711,1.8758085339070125
38,Haiti,-0.5988275839369246,-0.0142749957673477,Latin America,Haiti,-0.8874373131458589,-0.997030457971848,-0.28860972920893435,0.28860972920893435,0.08329557579405442,-0.9827554622045003,0.9827554622045003,0.9658082984927809
39,Hong Kong SAR,1.8707336436949693,-0.1229709929422533,Confucian,Hong Kong SAR,2.163289925395247,0.4377633536880446,0.2925562817002776,0.2925562817002776,0.08558917796229218,0.5607343466302979,0.5607343466302979,0.314423007490907
40,Hungary,0.9485098688865272,-0.0529357960243528,Protestant Europe,Hungary,1.3762875564416115,-0.225313681987676,0.4277776875550843,0.4277776875550843,0.1829937499699753,-0.1723778859633232,0.1723778859633232,0.02971413556918446
41,Iceland,0.8536988304691179,2.419726694914252,Protestant Europe,Iceland,0.6231700117068136,1.6365466950226808,-0.23052881876230424,0.23052881876230424,0.05314353627994332,-0.7831799998915714,0.7831799998915714,0.6133709122301617
42,India,-0.4392467574770601,-0.8115789939722345,West & South Asia,India,-0.9147637842900822,-0.8321977485383355,-0.4755170268130221,0.4755170268130221,0.22611644278909637,-0.02061875456610096,0.02061875456610096,0.0004251330398571092
43,Indonesia,-0.9824394371291622,-0.7934058461795847,West & South Asia,Indonesia,-0.7540841339620484,-0.225313681987676,0.22835530316711372,0.22835530316711372,0.05214614448454442,0.5680921641919087,0.5680921641919087,0.3227287070162465
44,Iran,-0.2578274334041969,-0.8648126014214585,West & South Asia,Iran,-1.3541734402891952,-0.225313681987676,-1.0963460068849984,1.0963460068849984,1.201974566812681,0.6394989194337826,0.6394989194337826,0.4089588679569755
45,Iraq,-0.5839134880060961,-1.2024731163047022,African-Islamic,Iraq,-1.3541734402891952,-0.3901463914211884,-0.7702599522830991,0.7702599522830991,0.5933003940911621,0.8123267248835138,0.8123267248835138,0.6598747079599758
46,Ireland,-0.5870028364489105,0.895325340212875,English-Speaking,Ireland,0.9232146648703872,1.5840999238392903,1.5102175013192976,1.5102175013192976,2.2807569012911024,0.6887745836264153,0.6887745836264153,0.4744104270497418
47,Israel,0.5211144912116434,0.4275382293426388,West & South Asia,Israel,0.2974384756676699,-0.225313681987676,-0.22367601554397354,0.22367601554397354,0.050030959929627895,-0.6528519113303148,0.6528519113303148,0.42621561812764525
48,Italy,0.6862348390172441,0.6136415494268028,Catholic Europe,Italy,0.1640852964838594,0.4265247598630324,-0.5221495425333847,0.5221495425333847,0.27264014476782295,-0.18711678956377042,0.18711678956377042,0.035012692936652344
49,Japan,2.036599696297112,1.043025027225779,Confucian,Japan,2.121753689256028,0.2816717727850972,0.08515399295891601,0.08515399295891601,0.007251202516847118,-0.7613532544406818,0.7613532544406818,0.5796587780474176
50,Jordan,-1.364985997754912,-1.1094643174602443,African-Islamic,Jordan,-0.7540841339620484,-0.225313681987676,0.6109018637928635,0.6109018637928635,0.3732010871855943,0.8841506354725683,0.8841506354725683,0.7817223462065465
51,Kazakhstan,0.1793686358823743,-0.6580501840824429,West & South Asia,Kazakhstan,0.6231700117068136,-1.439081815088995,0.44380137582443935,0.44380137582443935,0.19695966118366526,-0.7810316310065522,0.7810316310065522,0.610010408632755
52,Kenya,-0.6725458295378766,-0.3071884203309536,African-Islamic,Kenya,-1.3541734402891952,-0.225313681987676,-0.6816276107513186,0.6816276107513186,0.4646161997385511,0.0818747383432776,0.0818747383432776,0.006703472778780172
53,Kosovo,-0.8891198083048355,-0.4368006819464561,Orthodox Europe,Kosovo,-0.4480276571467457,-0.225313681987676,0.4410921511580898,0.4410921511580898,0.19456228581327115,0.2114869999587801,0.2114869999587801,0.04472675115156505
54,Kyrgyzstan,-1.1687591070078691,-0.5460967358881,West & South Asia,Kyrgyzstan,0.4581181259957038,-1.439081815088995,1.6268772330035728,1.6268772330035728,2.646729531265361,-0.892985079200895,0.892985079200895,0.7974223516754286
55,Latvia,1.211211015782406,-0.1145701982079151,Protestant Europe,Latvia,1.3762875564416115,0.4377633536880446,0.1650765406592054,0.1650765406592054,0.027250264276010294,0.5523335518959597,0.5523335518959597,0.30507235255000675
56,Lebanon,-0.2535662631382459,-0.994682030222706,African-Islamic,Lebanon,-0.7540841339620484,0.2167376751294711,-0.5005178708238025,0.5005178708238025,0.25051813901399267,1.2114197053521771,1.2114197053521771,1.4675377025155556
57,Libya,-1.5556733671562186,-1.037971839823122,African-Islamic,Libya,-0.8874373131458589,-0.3339534222961274,0.6682360540103597,0.6682360540103597,0.4465394238793363,0.7040184175269946,0.7040184175269946,0.49564193221721364
58,Lithuania,1.234753981501785,-0.2308954885599237,Protestant Europe,Lithuania,1.08990613885015,-0.225313681987676,-0.14484784265163486,0.14484784265163486,0.02098089752083277,0.005581806572247688,0.005581806572247688,3.115656460998749e-05
59,Luxembourg,0.6653551047140844,1.1113457762387124,Catholic Europe,Luxembourg,0.6231700117068136,1.6365466950226808,-0.0421850930072708,0.0421850930072708,0.001779582072032088,0.5252009187839684,0.5252009187839684,0.2758360050915245
60,Macau SAR,1.6708847582218684,0.1014502378179223,Confucian,Macau SAR,0.6428450709306543,-0.8321977485383355,-1.028039687291214,1.028039687291214,1.0568655986458173,-0.9336479863562578,0.9336479863562578,0.871698562427095
61,Malaysia,0.374743292576227,-0.4007972759421498,West & South Asia,Malaysia,-0.5813808363305559,-0.225313681987676,-0.956124128906783,0.956124128906783,0.9141733498777546,0.1754835939544738,0.1754835939544738,0.03079449174717863
62,Maldives,-1.1513948381741186,-0.6287331249075078,African-Islamic,Maldives,-0.2173922406894996,0.7636825746133988,0.934002597484619,0.934002597484619,0.8723608521080152,1.3924156995209067,1.3924156995209067,1.938821480272296
63,Mali,-1.1589584153961818,-0.1708040894908316,African-Islamic,Mali,-1.3541734402891952,-0.997030457971848,-0.19521502489301334,0.19521502489301334,0.038108905943979816,-0.8262263684810164,0.8262263684810164,0.6826500119733283
64,Malta,-1.0377281213298764,0.0778765791246265,Catholic Europe,Malta,0.1640852964838594,0.7636825746133988,1.2018134178137356,1.2018134178137356,1.4443554912371326,0.6858059954887723,0.6858059954887723,0.470329863448346
65,Mexico,-0.8129513898009617,0.1206520543535523,Latin America,Mexico,-0.7540841339620484,-0.225313681987676,0.05886725583891328,0.05886725583891328,0.0034653538100040695,-0.3459657363412283,0.3459657363412283,0.1196922907221283
66,Moldova,0.5102485070334685,-1.4019491300476086,Orthodox Europe,Moldova,0.4581181259957038,-0.225313681987676,-0.052130381037764684,0.052130381037764684,0.0027175766271425356,1.1766354480599326,1.1766354480599326,1.3844709776311983
67,Mongolia,1.1125649241256403,0.0529313621073572,Confucian,Mongolia,0.1640852964838594,-0.4500855584879202,-0.948479627641781,0.948479627641781,0.8996136040514915,-0.5030169205952774,0.5030169205952774,0.2530260224051556
68,Montenegro,-0.1477827112860126,-0.0877390884951822,Orthodox Europe,Montenegro,0.7641746028110065,0.4377633536880446,0.9119573140970191,0.9119573140970191,0.8316661427350491,0.5255024421832268,0.5255024421832268,0.27615281674053566
69,Morocco,-0.0217586006705121,-0.7704322442530274,African-Islamic,Morocco,-0.7540841339620484,-0.8321977485383355,-0.7323255332915364,0.7323255332915364,0.5363006867107332,-0.06176550428530814,0.06176550428530814,0.003814977519618418
70,Myanmar,-0.7757726792305394,-0.8881290929290094,West & South Asia,Myanmar,-0.0884112968887648,-0.4063799158350949,0.6873613823417746,0.6873613823417746,0.4724656699347952,0.4817491770939145,0.4817491770939145,0.2320822696306638
71,Netherlands,1.5482695838191285,1.973627350041847,Protestant Europe,Netherlands,1.3762875564416115,2.078598052139828,-0.171982027377517,0.171982027377517,0.029577817740881005,0.10497070209798087,0.10497070209798087,0.011018848298943045
72,New Zealand,0.8829943760475311,2.3756653837566,English-Speaking,New Zealand,0.6231700117068136,2.078598052139828,-0.25982436434071743,0.25982436434071743,0.06750870030505787,-0.297067331616772,0.297067331616772,0.08824899951390919
73,Nicaragua,-1.5078417309209189,-0.3820240713827615,Latin America,Nicaragua,-0.1539948276349013,-0.225313681987676,1.3538469032860176,1.3538469032860176,1.8329014375371395,0.1567103893950855,0.1567103893950855,0.024558146144359326
74,Nigeria,-1.1467075508815727,-1.0184271337064985,African-Islamic,Nigeria,-1.15414367151348,-0.225313681987676,-0.00743612063190735,0.00743612063190735,5.529589005227817e-05,0.7931134517188225,0.7931134517188225,0.629028947297345
75,North Macedonia,0.4094718302437276,-0.3033309125447779,Orthodox Europe,North Macedonia,0.7641746028110065,-0.225313681987676,0.3547027725672789,0.3547027725672789,0.12581405686691477,0.07801723055710189,0.07801723055710189,0.006086688263799992
76,Northern Ireland,0.4432416046013892,1.3639696750355947,English-Speaking,Northern Ireland,0.0230807053796665,1.0896017955387531,-0.42016089922172273,0.42016089922172273,0.17653518123480663,-0.2743678794968416,0.2743678794968416,0.07527773329959339
77,Norway,1.3035718812968935,2.5249080738839744,Protestant Europe,Norway,0.7761982501144649,1.6365466950226808,-0.5273736311824286,0.5273736311824286,0.27812294686654027,-0.8883613788612936,0.8883613788612936,0.7891859394523388
78,Pakistan,-1.1570408887765038,-0.6157033208297589,African-Islamic,Pakistan,-1.4875266194730057,-1.439081815088995,-0.3304857306965019,0.3304857306965019,0.10922081819400077,-0.8233784942592361,0.8233784942592361,0.677952144808607
79,Palestine,-0.6598688479966723,-1.2456772035098695,African-Islamic,Palestine,-1.3541734402891952,0.6587890322466182,-0.6943045922925228,0.6943045922925228,0.48205886687848637,1.9044662357564879,1.9044662357564879,3.6269916431364866
80,Peru,-0.8080510439951182,-0.5556119217606666,Latin America,Peru,-0.4480276571467457,-0.225313681987676,0.3600233868483725,0.3600233868483725,0.12961683907777286,0.33029823977299066,0.33029823977299066,0.10909692719713603
81,Philippines,-1.1902780168509215,0.0175280128697894,West & South Asia,Philippines,-1.0874670819215748,-0.225313681987676,0.10281093492934668,0.10281093492934668,0.010570088341046356,-0.2428416948574654,0.2428416948574654,0.058972088761246336
82,Poland,-0.1425627777102226,0.4397108094679042,Catholic Europe,Poland,-0.1419711803314433,0.4377633536880446,0.0005915973787793127,0.0005915973787793127,3.4998745857855364e-07,-0.0019474557798596082,0.0019474557798596082,3.7925840145085947e-06
83,Portugal,0.0293754425208996,0.2143466323599969,Catholic Europe,Portugal,1.2232593180339604,0.4265247598630324,1.1938838755130607,1.1938838755130607,1.4253587082100856,0.2121781275030355,0.2121781275030355,0.04501955779069439
84,Puerto Rico,-1.3400581516990986,0.4924300825456384,Latin America,Puerto Rico,-0.8874373131458589,-0.225313681987676,0.45262083855323965,0.45262083855323965,0.20486562349263782,-0.7177437645333145,0.7177437645333145,0.5151561115264539
85,Qatar,-1.9915910853630048,-0.685395628166666,West & South Asia,Qatar,-1.15414367151348,-1.8811331722061424,0.8374474138495247,0.8374474138495247,0.7013181709632571,-1.1957375440394764,1.1957375440394764,1.4297882742255588
86,Romania,-0.0963290803246544,-0.7603170016137222,Orthodox Europe,Romania,0.1640852964838594,-0.225313681987676,0.26041437680851376,0.26041437680851376,0.06781564764856658,0.5350033196260462,0.5350033196260462,0.28622855201088937
87,Russia,0.7315097730929735,-0.5831288106353865,Orthodox Europe,Russia,1.2035842588101198,-0.225313681987676,0.4720744857171463,0.4720744857171463,0.22285432006510814,0.3578151286477105,0.3578151286477105,0.1280316662891776
88,Rwanda,-0.8547108584072812,-0.6790521709182881,African-Islamic,Rwanda,-0.8874373131458589,-1.439081815088995,-0.032726454738577715,0.032726454738577715,0.0010710208397561758,-0.760029644170707,0.760029644170707,0.5776450600182514
89,Saudi Arabia,-1.28604781857817,-0.4301143351170849,West & South Asia,Saudi Arabia,-1.754232977840626,-1.439081815088995,-0.46818515926245596,0.46818515926245596,0.21919734335361127,-1.0089674799719102,1.0089674799719102,1.018015375640867
90,Serbia,0.6474581895970901,-0.5676987794906838,Orthodox Europe,Serbia,-0.4360040098432877,-0.225313681987676,-1.083462199440378,1.083462199440378,1.1738903376161813,0.34238509750300783,0.34238509750300783,0.11722755499214418
91,Singapore,0.411176298350108,-0.1760331556009808,Confucian,Singapore,0.7565231908906238,0.7636825746133988,0.3453468925405158,0.3453468925405158,0.11926447618739058,0.9397157302143796,0.9397157302143796,0.8830656536123447
92,Slovakia,1.0900872509727488,0.0312435961095251,Protestant Europe,Slovakia,0.6034949524829729,-0.225313681987676,-0.4865922984897759,0.4865922984897759,0.23677206494956318,-0.25655727809720114,0.25655727809720114,0.0658216369446446
93,Slovenia,1.143991054837029,0.982162126599452,Protestant Europe,Slovenia,0.6231700117068136,-0.225313681987676,-0.5208210431302153,0.5208210431302153,0.27125455896724554,-1.207475808587128,1.207475808587128,1.4579978283231385
94,South Africa,0.0283101499544118,-0.0499355121906606,West & South Asia,South Africa,-0.1419711803314433,0.136818785707162,-0.1702813302858551,0.1702813302858551,0.028995731443920474,0.1867542978978226,0.1867542978978226,0.03487716778330867
95,South Korea,1.8650875930925843,-0.476661595736938,Confucian,South Korea,0.176108943787318,0.6550428343049474,-1.6889786493052663,1.6889786493052663,2.8526488778090417,1.1317044300418853,1.1317044300418853,1.2807549169764283
96,Spain,0.9433964645673862,1.1543784186533834,Catholic Europe,Spain,0.6231700117068136,1.0896017955387531,-0.3202264528605726,0.3202264528605726,0.10254498111166453,-0.06477662311463028,0.06477662311463028,0.004196010902134855
97,Sweden,1.4955376017779851,2.5957147723591105,Protestant Europe,Sweden,1.1762577876658962,2.078598052139828,-0.31927981411208894,0.31927981411208894,0.10193959969945007,-0.5171167202192826,0.5171167202192826,0.2674097023303478
98,Switzerland,1.03607691785182,1.9427672877524416,Protestant Europe,Switzerland,1.1762577876658962,2.078598052139828,0.14018086981407607,0.14018086981407607,0.019650676261830945,0.1358307643873864,0.1358307643873864,0.018449996554061675
99,Taiwan ROC,1.5162042775678477,-0.1971208648320745,Confucian,Taiwan ROC,0.9095514292982754,0.4377633536880446,-0.6066528482695723,0.6066528482695723,0.36802767831358474,0.6348842185201191,0.6348842185201191,0.40307797092590236
100,Tajikistan,-1.1407419125092415,-0.6030164063330032,West & South Asia,Tajikistan,-1.3541734402891952,-1.439081815088995,-0.21343152777995367,0.21343152777995367,0.04555301705048513,-0.8360654087559918,0.8360654087559918,0.6990053677183237
101,Tanzania,-1.603185415621572,-0.6577930168966978,African-Islamic,Tanzania,-1.4875266194730057,-1.439081815088995,0.11565879614856622,0.11565879614856622,0.013376957126535596,-0.7812887981922972,0.7812887981922972,0.6104121861807642
102,Thailand,0.5876952766171276,-0.0166752228343015,West & South Asia,Thailand,0.0230807053796665,0.136818785707162,-0.5646145712374611,0.5646145712374611,0.318789614053662,0.1534940085414635,0.1534940085414635,0.02356041065812687
103,Trinidad and Tobago,-1.553649311279892,-0.3803096234777945,African-Islamic,Trinidad and Tobago,-0.4480276571467457,-0.225313681987676,1.1056216541331463,1.1056216541331463,1.2223992420881145,0.1549959414901185,0.1549959414901185,0.024023741878408236
104,Tunisia,-0.3185491096939983,-1.3009681484450542,African-Islamic,Tunisia,-0.5813808363305559,-0.225313681987676,-0.2628317266365576,0.2628317266365576,0.06908051652675416,1.0756544664573782,1.0756544664573782,1.157032531209707
105,Turkey,-0.1695146796423626,-0.6766519438513343,West & South Asia,Turkey,-0.4480276571467457,0.2148645761586357,-0.2785129775043831,0.2785129775043831,0.077569478638357,0.89151652000997,0.89151652000997,0.7948017054506872
106,Uganda,-0.9869136659084108,-0.8961869980823542,African-Islamic,Uganda,-1.3541734402891952,-1.439081815088995,-0.3672597743807844,0.3672597743807844,0.13487974187822466,-0.5428948170066408,0.5428948170066408,0.294734782332674
107,Ukraine,0.7759324731155124,-0.4956919674820713,Orthodox Europe,Ukraine,1.3566124972177709,0.4377633536880446,0.5806800241022585,0.5806800241022585,0.3371892903913995,0.9334553211701159,0.9334553211701159,0.8713388366208041
108,United States,0.4704065650468267,1.129947536007604,English-Speaking,United States,0.6231700117068136,1.0896017955387531,0.15276344665998692,0.15276344665998692,0.02333667063543867,-0.040345740468850755,0.040345740468850755,0.0016277787739798616
109,Uruguay,-0.0342225236984188,1.093686962817553,Latin America,Uruguay,0.1640852964838594,-0.225313681987676,0.1983078201822782,0.1983078201822782,0.03932599154544678,-1.319000644805229,1.319000644805229,1.7397627009966097
110,Uzbekistan,-1.0928037470172929,-0.5682131138621739,West & South Asia,Uzbekistan,-0.4480276571467457,-1.439081815088995,0.6447760898705472,0.6447760898705472,0.415736206068752,-0.8708687012268211,0.8708687012268211,0.7584122947764903
111,Venezuela,-0.8129513898009617,-0.2876437142143302,Latin America,Venezuela,0.9390640181340364,0.2167376751294711,1.752015407934998,1.752015407934998,3.0695579896416376,0.5043813893438013,0.5043813893438013,0.25440058591638326
112,Vietnam,-0.1552397592514268,0.4522262791741631,Confucian,Vietnam,1.2232593180339604,-1.439081815088995,1.3784990772853871,1.3784990772853871,1.9002597060766637,-1.8913080942631582,1.8913080942631582,3.577046307425339
113,Yemen,-1.1365872714999392,-1.148296562507746,African-Islamic,Yemen,-1.3541734402891952,-0.997030457971848,-0.21758616878925596,0.21758616878925596,0.047343740848386585,0.15126610453589795,0.15126610453589795,0.022881434381465206
114,Zambia,-0.2266143612061059,-0.857269030639604,West & South Asia,Zambia,-0.1539948276349013,-1.439081815088995,0.0726195335712046,0.0726195335712046,0.005273596656099311,-0.581812784449391,0.581812784449391,0.33850611614875353
115,Zimbabwe,-0.3066178329493356,-1.6768608516090613,African-Islamic,Zimbabwe,-0.7540841339620484,0.2167376751294711,-0.44746630101271284,0.44746630101271284,0.20022609054199975,1.8935985267385325,1.8935985267385325,3.5857153804663406
