Country/Territory,Cultural_Region,Traditional_vs_Secular_Transformed,Survival_vs_Self_Expression_Transformed
Albania,Orthodox Europe,-0.6087073074747795,-0.7760047794132745
Algeria,African-Islamic,-1.3541734402891952,-0.225313681987676
Andorra,Catholic Europe,0.7641746028110065,1.4267596102891194
Argentina,Latin America,-0.1419711803314433,0.4265247598630324
Armenia,Orthodox Europe,-0.6087073074747795,0.4377633536880446
Australia,English-Speaking,0.6231700117068136,0.647550438421606
Austria,Catholic Europe,1.5632006190681005,1.0896017955387531
Azerbaijan,West & South Asia,-0.3146744779629352,-1.439081815088995
Bangladesh,West & South Asia,-1.0541287871256222,-1.439081815088995
Belarus,Orthodox Europe,1.4101723806604491,-0.7760047794132745
Belgium,Catholic Europe,2.163289925395247,1.0896017955387531
Bolivia,Latin America,-1.4875266194730057,-0.225313681987676
Bosnia and Herzegovina,Orthodox Europe,0.6231700117068136,-0.225313681987676
Brazil,Latin America,-0.1539948276349013,-0.225313681987676
Bulgaria,Orthodox Europe,0.0307321173000491,-0.225313681987676
Burkina Faso,African-Islamic,-1.15414367151348,-1.439081815088995
Canada,English-Speaking,0.6231700117068136,2.078598052139828
Chile,Latin America,-0.1419711803314433,0.136818785707162
China,Confucian,1.5216643829288805,-2.102158850764716
Colombia,Latin America,-0.1539948276349013,-0.225313681987676
Croatia,Protestant Europe,1.3566124972177709,-0.225313681987676
Cyprus,Catholic Europe,-0.2753243595152538,-0.225313681987676
Czechia,Protestant Europe,1.0822547269297675,1.0896017955387531
Denmark,Protestant Europe,1.0232295492582448,1.6365466950226808
Dominican Republic,Latin America,-0.1539948276349013,-1.439081815088995
Ecuador,Latin America,-0.7540841339620484,-0.225313681987676
Egypt,African-Islamic,-1.3541734402891952,-0.225313681987676
Estonia,Protestant Europe,0.7761982501144649,0.4377633536880446
Ethiopia,African-Islamic,-1.3541734402891952,-1.439081815088995
Finland,Protestant Europe,0.7761982501144649,2.078598052139828
France,Catholic Europe,1.3566124972177709,1.0896017955387531
Georgia,Orthodox Europe,-0.1419711803314433,0.4377633536880446
Germany,Protestant Europe,1.3762875564416115,2.078598052139828
Germany West,Protestant Europe,0.7761982501144649,2.078598052139828
Ghana,African-Islamic,-1.3541734402891952,-0.8321977485383355
Great Britain,English-Speaking,1.5435255598442597,1.0896017955387531
Greece,Orthodox Europe,1.2232593180339604,0.4377633536880446
Guatemala,Latin America,-1.3541734402891952,-1.439081815088995
Haiti,Latin America,-0.8874373131458589,-0.997030457971848
Hong Kong SAR,Confucian,2.163289925395247,0.4377633536880446
Hungary,Protestant Europe,1.3762875564416115,-0.225313681987676
Iceland,Protestant Europe,0.6231700117068136,1.6365466950226808
India,West & South Asia,-0.9147637842900822,-0.8321977485383355
Indonesia,West & South Asia,-0.7540841339620484,-0.225313681987676
Iran,West & South Asia,-1.3541734402891952,-0.225313681987676
Iraq,African-Islamic,-1.3541734402891952,-0.3901463914211884
Ireland,English-Speaking,0.9232146648703872,1.5840999238392903
Israel,West & South Asia,0.2974384756676699,-0.225313681987676
Italy,Catholic Europe,0.1640852964838594,0.4265247598630324
Japan,Confucian,2.121753689256028,0.2816717727850972
Jordan,African-Islamic,-0.7540841339620484,-0.225313681987676
Kazakhstan,West & South Asia,0.6231700117068136,-1.439081815088995
Kenya,African-Islamic,-1.3541734402891952,-0.225313681987676
Kosovo,Orthodox Europe,-0.4480276571467457,-0.225313681987676
Kyrgyzstan,West & South Asia,0.4581181259957038,-1.439081815088995
Latvia,Protestant Europe,1.3762875564416115,0.4377633536880446
Lebanon,African-Islamic,-0.7540841339620484,0.2167376751294711
Libya,African-Islamic,-0.8874373131458589,-0.3339534222961274
Lithuania,Protestant Europe,1.08990613885015,-0.225313681987676
Luxembourg,Catholic Europe,0.6231700117068136,1.6365466950226808
Macau SAR,Confucian,0.6428450709306543,-0.8321977485383355
Malaysia,West & South Asia,-0.5813808363305559,-0.225313681987676
Maldives,African-Islamic,-0.2173922406894996,0.7636825746133988
Mali,African-Islamic,-1.3541734402891952,-0.997030457971848
Malta,Catholic Europe,0.1640852964838594,0.7636825746133988
Mexico,Latin America,-0.7540841339620484,-0.225313681987676
Moldova,Orthodox Europe,0.4581181259957038,-0.225313681987676
Mongolia,Confucian,0.1640852964838594,-0.4500855584879202
Montenegro,Orthodox Europe,0.7641746028110065,0.4377633536880446
Morocco,African-Islamic,-0.7540841339620484,-0.8321977485383355
Myanmar,West & South Asia,-0.0884112968887648,-0.4063799158350949
Netherlands,Protestant Europe,1.3762875564416115,2.078598052139828
New Zealand,English-Speaking,0.6231700117068136,2.078598052139828
Nicaragua,Latin America,-0.1539948276349013,-0.225313681987676
Nigeria,African-Islamic,-1.15414367151348,-0.225313681987676
North Macedonia,Orthodox Europe,0.7641746028110065,-0.225313681987676
Northern Ireland,English-Speaking,0.0230807053796665,1.0896017955387531
Norway,Protestant Europe,0.7761982501144649,1.6365466950226808
Pakistan,African-Islamic,-1.4875266194730057,-1.439081815088995
Palestine,African-Islamic,-1.3541734402891952,0.6587890322466182
Peru,Latin America,-0.4480276571467457,-0.225313681987676
Philippines,West & South Asia,-1.0874670819215748,-0.225313681987676
Poland,Catholic Europe,-0.1419711803314433,0.4377633536880446
Portugal,Catholic Europe,1.2232593180339604,0.4265247598630324
Puerto Rico,Latin America,-0.8874373131458589,-0.225313681987676
Qatar,West & South Asia,-1.15414367151348,-1.8811331722061424
Romania,Orthodox Europe,0.1640852964838594,-0.225313681987676
Russia,Orthodox Europe,1.2035842588101198,-0.225313681987676
Rwanda,African-Islamic,-0.8874373131458589,-1.439081815088995
Saudi Arabia,West & South Asia,-1.754232977840626,-1.439081815088995
Serbia,Orthodox Europe,-0.4360040098432877,-0.225313681987676
Singapore,Confucian,0.7565231908906238,0.7636825746133988
Slovakia,Protestant Europe,0.6034949524829729,-0.225313681987676
Slovenia,Protestant Europe,0.6231700117068136,-0.225313681987676
South Africa,West & South Asia,-0.1419711803314433,0.136818785707162
South Korea,Confucian,0.176108943787318,0.6550428343049474
Spain,Catholic Europe,0.6231700117068136,1.0896017955387531
Sweden,Protestant Europe,1.1762577876658962,2.078598052139828
Switzerland,Protestant Europe,1.1762577876658962,2.078598052139828
Taiwan ROC,Confucian,0.9095514292982754,0.4377633536880446
Tajikistan,West & South Asia,-1.3541734402891952,-1.439081815088995
Tanzania,African-Islamic,-1.4875266194730057,-1.439081815088995
Thailand,West & South Asia,0.0230807053796665,0.136818785707162
Trinidad and Tobago,African-Islamic,-0.4480276571467457,-0.225313681987676
Tunisia,African-Islamic,-0.5813808363305559,-0.225313681987676
Turkey,West & South Asia,-0.4480276571467457,0.2148645761586357
Uganda,African-Islamic,-1.3541734402891952,-1.439081815088995
Ukraine,Orthodox Europe,1.3566124972177709,0.4377633536880446
United States,English-Speaking,0.6231700117068136,1.0896017955387531
Uruguay,Latin America,0.1640852964838594,-0.225313681987676
Uzbekistan,West & South Asia,-0.4480276571467457,-1.439081815088995
Venezuela,Latin America,0.9390640181340364,0.2167376751294711
Vietnam,Confucian,1.2232593180339604,-1.439081815088995
Yemen,African-Islamic,-1.3541734402891952,-0.997030457971848
Zambia,West & South Asia,-0.1539948276349013,-1.439081815088995
Zimbabwe,African-Islamic,-0.7540841339620484,0.2167376751294711
